"films_id","genre_id"
216015,18
216015,10749
216015,53
604,12
604,28
604,53
604,878
812204,16
812204,35
812204,10402
812204,10751
32657,12
32657,14
32657,10751
777620,53
777620,27
581387,28
581387,12
581387,53
72545,12
72545,28
72545,878
225914,878
225914,28
225914,80
225914,10770
214756,35
118406,16
118406,14
118406,28
522241,53
522241,36
522241,18
739990,14
739990,10751
600583,18
600583,37
585,16
585,35
585,10751
801335,80
801335,53
68726,28
68726,878
68726,12
656940,53
656940,80
772388,35
348893,28
348893,18
1771,28
1771,12
1771,878
605,12
605,28
605,53
605,878
138843,27
138843,53
18240,35
18240,10749
18240,18
75624,53
75624,16
75624,28
75624,35
75624,27
75624,9648
72190,28
72190,18
72190,27
72190,878
72190,53
610150,16
610150,878
610150,28
43347,18
43347,35
43347,10749
106646,80
106646,18
106646,35
662237,35
662237,10749
882102,35
882102,10749
646351,18
424277,18
424277,10749
424277,10402
383498,28
383498,35
383498,12
440249,99
301528,10751
301528,12
301528,16
301528,35
301528,14
301528,18
410113,16
410113,10751
410113,35
410113,10402
410113,14
207703,80
207703,35
207703,28
207703,12
296096,18
296096,10749
39254,28
39254,878
39254,18
809,16
809,10751
809,35
809,14
809,12
678580,35
76338,28
76338,12
76338,14
722778,18
722778,35
895006,16
895006,28
895006,14
228150,10752
228150,18
228150,28
333339,878
333339,12
333339,28
398818,10749
398818,18
378064,16
378064,18
324552,53
324552,28
324552,80
483898,99
109445,16
109445,10751
109445,12
109445,14
177572,12
177572,10751
177572,16
177572,28
177572,35
9820,35
9820,10751
676845,27
458156,28
458156,53
458156,80
630586,27
630586,53
607259,18
607259,10751
607259,35
425,16
425,35
425,10751
425,12
602734,27
602734,80
602734,9648
811367,10751
811367,35
811367,14
811367,16
591273,27
591273,9648
10196,28
10196,12
10196,14
412656,878
863,16
863,35
863,10751
343668,28
343668,12
343668,35
343668,80
343668,53
118,12
118,35
118,10751
118,14
299537,28
299537,12
299537,878
284054,28
284054,12
284054,878
269149,16
269149,12
269149,10751
269149,35
